target,policy,chunk_size,num_threads,ranges, run1,run2,run3
collatz_par, d,512,4,1-1000 5000-100000 1000000-5000000,0.328272,0.328046,0.328036
collatz_par, d,512,8,1-1000 5000-100000 1000000-5000000,0.168565,0.169096,0.168604
collatz_par, d,512,16,1-1000 5000-100000 1000000-5000000,0.087243,0.0871246,0.0864088
collatz_par, d,512,32,1-1000 5000-100000 1000000-5000000,0.0623184,0.0649101,0.0624923
collatz_par, d,1024,4,1-1000 5000-100000 1000000-5000000,0.322386,0.326822,0.326943
collatz_par, d,1024,8,1-1000 5000-100000 1000000-5000000,0.168508,0.16771,0.168022
collatz_par, d,1024,16,1-1000 5000-100000 1000000-5000000,0.085593,0.0865999,0.0865692
collatz_par, d,1024,32,1-1000 5000-100000 1000000-5000000,0.0620589,0.0639235,0.0650931
collatz_par, d,5000,4,1-1000 5000-100000 1000000-5000000,0.325569,0.325641,0.325301
collatz_par, d,5000,8,1-1000 5000-100000 1000000-5000000,0.168197,0.168922,0.168119
collatz_par, d,5000,16,1-1000 5000-100000 1000000-5000000,0.0878262,0.0872506,0.0872836
collatz_par, d,5000,32,1-1000 5000-100000 1000000-5000000,0.0643397,0.0651322,0.0637893
collatz_par, d,10000,4,1-1000 5000-100000 1000000-5000000,0.327819,0.327785,0.327207
collatz_par, d,10000,8,1-1000 5000-100000 1000000-5000000,0.170278,0.170382,0.169611
collatz_par, d,10000,16,1-1000 5000-100000 1000000-5000000,0.0881972,0.0872968,0.0873959
collatz_par, d,10000,32,1-1000 5000-100000 1000000-5000000,0.0673568,0.065183,0.0659341
collatz_par, d,50000,4,1-1000 5000-100000 1000000-5000000,0.326406,0.336731,0.336491
collatz_par, d,50000,8,1-1000 5000-100000 1000000-5000000,0.176069,0.176231,0.176651
collatz_par, d,50000,16,1-1000 5000-100000 1000000-5000000,0.0965146,0.0959804,0.0958829
collatz_par, d,50000,32,1-1000 5000-100000 1000000-5000000,0.0775062,0.078059,0.0780866
collatz_par, s,512,4,1-1000 5000-100000 1000000-5000000,0.426937,0.428105,0.427394
collatz_par, s,512,8,1-1000 5000-100000 1000000-5000000,0.217722,0.217606,0.216862
collatz_par, s,512,16,1-1000 5000-100000 1000000-5000000,0.111488,0.111015,0.111207
collatz_par, s,512,32,1-1000 5000-100000 1000000-5000000,0.078898,0.0799715,0.0781754
collatz_par, s,1024,4,1-1000 5000-100000 1000000-5000000,0.426178,0.425846,0.426418
collatz_par, s,1024,8,1-1000 5000-100000 1000000-5000000,0.215151,0.21559,0.218
collatz_par, s,1024,16,1-1000 5000-100000 1000000-5000000,0.111173,0.110521,0.110389
collatz_par, s,1024,32,1-1000 5000-100000 1000000-5000000,0.0781323,0.0793862,0.0766633
collatz_par, s,5000,4,1-1000 5000-100000 1000000-5000000,0.425391,0.424958,0.425723
collatz_par, s,5000,8,1-1000 5000-100000 1000000-5000000,0.216566,0.216846,0.215964
collatz_par, s,5000,16,1-1000 5000-100000 1000000-5000000,0.110804,0.111762,0.110453
collatz_par, s,5000,32,1-1000 5000-100000 1000000-5000000,0.0786493,0.0778677,0.0779119
collatz_par, s,10000,4,1-1000 5000-100000 1000000-5000000,0.425045,0.42643,0.42511
collatz_par, s,10000,8,1-1000 5000-100000 1000000-5000000,0.218633,0.219058,0.219063
collatz_par, s,10000,16,1-1000 5000-100000 1000000-5000000,0.113617,0.112782,0.113451
collatz_par, s,10000,32,1-1000 5000-100000 1000000-5000000,0.0811226,0.0792813,0.0803279
collatz_par, s,50000,4,1-1000 5000-100000 1000000-5000000,0.432165,0.432382,0.432409
collatz_par, s,50000,8,1-1000 5000-100000 1000000-5000000,0.232239,0.231977,0.233256
collatz_par, s,50000,16,1-1000 5000-100000 1000000-5000000,0.132492,0.1323,0.132278
collatz_par, s,50000,32,1-1000 5000-100000 1000000-5000000,0.101375,0.102023,0.101052
collatz_par, t,512,4,1-1000 5000-100000 1000000-5000000,0.371855,0.364991,0.371832
collatz_par, t,512,8,1-1000 5000-100000 1000000-5000000,0.186786,0.186799,0.186761
collatz_par, t,512,16,1-1000 5000-100000 1000000-5000000,0.117352,0.113178,0.113043
collatz_par, t,512,32,1-1000 5000-100000 1000000-5000000,0.0684276,0.0636488,0.0707632
collatz_par, t,1024,4,1-1000 5000-100000 1000000-5000000,0.363007,0.36922,0.363056
collatz_par, t,1024,8,1-1000 5000-100000 1000000-5000000,0.188436,0.18686,0.185692
collatz_par, t,1024,16,1-1000 5000-100000 1000000-5000000,0.0958321,0.113147,0.116935
collatz_par, t,1024,32,1-1000 5000-100000 1000000-5000000,0.0643195,0.0661194,0.0654395
collatz_par, t,5000,4,1-1000 5000-100000 1000000-5000000,0.367846,0.363563,0.361489
collatz_par, t,5000,8,1-1000 5000-100000 1000000-5000000,0.189726,0.191167,0.188829
collatz_par, t,5000,16,1-1000 5000-100000 1000000-5000000,0.11354,0.101919,0.0984761
collatz_par, t,5000,32,1-1000 5000-100000 1000000-5000000,0.0651124,0.0645754,0.067108
collatz_par, t,10000,4,1-1000 5000-100000 1000000-5000000,0.363611,0.366444,0.363156
collatz_par, t,10000,8,1-1000 5000-100000 1000000-5000000,0.186425,0.186441,0.186553
collatz_par, t,10000,16,1-1000 5000-100000 1000000-5000000,0.114964,0.113598,0.106376
collatz_par, t,10000,32,1-1000 5000-100000 1000000-5000000,0.0665649,0.0655632,0.0662398
collatz_par, t,50000,4,1-1000 5000-100000 1000000-5000000,0.37154,0.371479,0.370825
collatz_par, t,50000,8,1-1000 5000-100000 1000000-5000000,0.193226,0.193268,0.193354
collatz_par, t,50000,16,1-1000 5000-100000 1000000-5000000,0.1251,0.131488,0.130971
collatz_par, t,50000,32,1-1000 5000-100000 1000000-5000000,0.0843762,0.0933134,0.0846223
collatz_seq, none, none, none,1-1000 5000-100000 1000000-5000000,1.29407,1.2981,1.29267
